sas_column,description,data_type,worksheet_code,worksheet_name,line_num,column_num,column_header,category,subcategory
E3_1_IRF_C1_18,Inpatient Rehabilitation Facility | Line 18 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",01800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_19,Inpatient Rehabilitation Facility | Line 19 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",01900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_2,Inpatient Rehabilitation Facility | Line 2 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_20,Inpatient Rehabilitation Facility | Line 20 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",02000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_21,Inpatient Rehabilitation Facility | Line 21 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",02100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_22,Inpatient Rehabilitation Facility | Line 22 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",02200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_3,Inpatient Rehabilitation Facility | Line 3 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_4,Inpatient Rehabilitation Facility | Line 4 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_5,Inpatient Rehabilitation Facility | Line 5 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_6,Inpatient Rehabilitation Facility | Line 6 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_7,Inpatient Rehabilitation Facility | Line 7 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_8,Inpatient Rehabilitation Facility | Line 8 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_IRF_C1_9,Inpatient Rehabilitation Facility | Line 9 | Col 1,NUMERIC,E30C181,"E-3, Part I: Settlement - IRF",00900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_1,Skilled Nursing Facility | Line 1 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_10,Skilled Nursing Facility | Line 10 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_11,Skilled Nursing Facility | Line 11 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_12,Skilled Nursing Facility | Line 12 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_13,Skilled Nursing Facility | Line 13 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_14,Skilled Nursing Facility | Line 14 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_15,Skilled Nursing Facility | Line 15 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_16,Skilled Nursing Facility | Line 16 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_18,Skilled Nursing Facility | Line 18 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_19,Skilled Nursing Facility | Line 19 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",01900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_2,Skilled Nursing Facility | Line 2 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_20,Skilled Nursing Facility | Line 20 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",02000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_21,Skilled Nursing Facility | Line 21 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",02100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_22,Skilled Nursing Facility | Line 22 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",02200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_3,Skilled Nursing Facility | Line 3 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_4,Skilled Nursing Facility | Line 4 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_5,Skilled Nursing Facility | Line 5 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_6,Skilled Nursing Facility | Line 6 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_7,Skilled Nursing Facility | Line 7 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_8,Skilled Nursing Facility | Line 8 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SNF_C1_9,Skilled Nursing Facility | Line 9 | Col 1,NUMERIC,E30E181,"E-3, Part I: Settlement - SNF",00900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_1,Subprovider 1 | Line 1 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_10,Subprovider 1 | Line 10 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_11,Subprovider 1 | Line 11 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_12,Subprovider 1 | Line 12 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_13,Subprovider 1 | Line 13 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_14,Subprovider 1 | Line 14 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_15,Subprovider 1 | Line 15 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_16,Subprovider 1 | Line 16 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_18,Subprovider 1 | Line 18 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_19,Subprovider 1 | Line 19 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",01900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_2,Subprovider 1 | Line 2 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_20,Subprovider 1 | Line 20 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",02000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_21,Subprovider 1 | Line 21 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",02100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_22,Subprovider 1 | Line 22 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",02200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_3,Subprovider 1 | Line 3 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_4,Subprovider 1 | Line 4 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_5,Subprovider 1 | Line 5 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_6,Subprovider 1 | Line 6 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_7,Subprovider 1 | Line 7 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_8,Subprovider 1 | Line 8 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB1_C1_9,Subprovider 1 | Line 9 | Col 1,NUMERIC,E31D181,"E-3, Part I: Settlement - Subprovider 1",00900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_1,Subprovider 2 | Line 1 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_10,Subprovider 2 | Line 10 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_11,Subprovider 2 | Line 11 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_12,Subprovider 2 | Line 12 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_13,Subprovider 2 | Line 13 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_14,Subprovider 2 | Line 14 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_15,Subprovider 2 | Line 15 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_16,Subprovider 2 | Line 16 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_18,Subprovider 2 | Line 18 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_19,Subprovider 2 | Line 19 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",01900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_2,Subprovider 2 | Line 2 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_20,Subprovider 2 | Line 20 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",02000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_21,Subprovider 2 | Line 21 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",02100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_22,Subprovider 2 | Line 22 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",02200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_3,Subprovider 2 | Line 3 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_4,Subprovider 2 | Line 4 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_5,Subprovider 2 | Line 5 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_6,Subprovider 2 | Line 6 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_7,Subprovider 2 | Line 7 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_8,Subprovider 2 | Line 8 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_1_SUB2_C1_9,Subprovider 2 | Line 9 | Col 1,NUMERIC,E32D181,"E-3, Part I: Settlement - Subprovider 2",00900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (TEFRA),nan
E3_2_HOS_C1_13,Hospital | Line 13 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",01300,00100,Amount,nan,nan
E3_2_HOS_C1_14,Hospital | Line 14 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",01400,00100,Amount,nan,nan
E3_2_HOS_C1_15,Hospital | Line 15 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",01500,00100,Amount,nan,nan
E3_2_HOS_C1_17,Hospital | Line 17 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",01700,00100,Amount,nan,nan
E3_2_HOS_C1_28,Hospital | Line 28 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",02800,00100,Amount,nan,nan
E3_2_HOS_C1_29,Hospital | Line 29 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",02900,00100,Amount,nan,nan
E3_2_HOS_C1_3,Hospital | Line 3 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",00300,00100,Amount,nan,nan
E3_2_HOS_C1_33,Hospital | Line 33 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",03300,00100,Amount,nan,nan
E3_2_HOS_C1_35,Hospital | Line 35 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",03500,00100,Amount,nan,nan
E3_2_HOS_C1_5,Hospital | Line 5 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",00500,00100,Amount,nan,nan
E3_2_HOS_C1_7,Hospital | Line 7 | Col 1,NUMERIC,E30A182,"E-3, Part II: Settlement - Hospital",00700,00100,Amount,nan,nan
E3_2_IPF_C1_13,Inpatient Psychiatric Facility | Line 13 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",01300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_14,Inpatient Psychiatric Facility | Line 14 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",01400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_15,Inpatient Psychiatric Facility | Line 15 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",01500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_17,Inpatient Psychiatric Facility | Line 17 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",01700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_27,Inpatient Psychiatric Facility | Line 27 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",02700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_29,Inpatient Psychiatric Facility | Line 29 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",02900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_33,Inpatient Psychiatric Facility | Line 33 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",03300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_2_IPF_C1_4,Inpatient Psychiatric Facility | Line 4 | Col 1,NUMERIC,E30B182,"E-3, Part II: Settlement - IPF",00400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_HOS_C1_11,Hospital | Line 11 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",01100,00100,Amount,nan,nan
E3_3_HOS_C1_12,Hospital | Line 12 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",01200,00100,Amount,nan,nan
E3_3_HOS_C1_14,Hospital | Line 14 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",01400,00100,Amount,nan,nan
E3_3_HOS_C1_15,Hospital | Line 15 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",01500,00100,Amount,nan,nan
E3_3_HOS_C1_16,Hospital | Line 16 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",01600,00100,Amount,nan,nan
E3_3_HOS_C1_18,Hospital | Line 18 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",01800,00100,Amount,nan,nan
E3_3_HOS_C1_24,Hospital | Line 24 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",02400,00100,Amount,nan,nan
E3_3_HOS_C1_25,Hospital | Line 25 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",02500,00100,Amount,nan,nan
E3_3_HOS_C1_26,Hospital | Line 26 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",02600,00100,Amount,nan,nan
E3_3_HOS_C1_28,Hospital | Line 28 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",02800,00100,Amount,nan,nan
E3_3_HOS_C1_29,Hospital | Line 29 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",02900,00100,Amount,nan,nan
E3_3_HOS_C1_30,Hospital | Line 30 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",03000,00100,Amount,nan,nan
E3_3_HOS_C1_34,Hospital | Line 34 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",03400,00100,Amount,nan,nan
E3_3_HOS_C1_36,Hospital | Line 36 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",03600,00100,Amount,nan,nan
E3_3_HOS_C1_5,Hospital | Line 5 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",00500,00100,Amount,nan,nan
E3_3_HOS_C1_51,Hospital | Line 51 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",05100,00100,Amount,nan,nan
E3_3_HOS_C1_52,Hospital | Line 52 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",05200,00100,Amount,nan,nan
E3_3_HOS_C1_53,Hospital | Line 53 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",05300,00100,Amount,nan,nan
E3_3_HOS_C1_6,Hospital | Line 6 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",00600,00100,Amount,nan,nan
E3_3_HOS_C1_7,Hospital | Line 7 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",00700,00100,Amount,nan,nan
E3_3_HOS_C1_8,Hospital | Line 8 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",00800,00100,Amount,nan,nan
