sas_column,worksheet,worksheet_code,line_raw,line,col_raw,col,line_name,col_name,category,subcategory,data_type,status
rpt_rec_num,,,,,,,Report Record Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
prvdr_num,,,,,,,Hospital Provider Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_num,,,,,,,Fiscal Intermediary Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
rpt_stus_cd,,,,,,,Report Status Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_creat_dt,,,,,,,Fiscal Intermediary/MAC Create Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_bgn_dt,,,,,,,Fiscal Year Begin Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_end_dt,,,,,,,Fiscal Year End Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
util_cd,,,,,,,"Utilization Code (F=Full, L=Low Medicare)",,,,ID,ID_FIELD
trnsmtl_num,,,,,,,Transmittal Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
proc_dt,,,,,,,Processing Date,,,,ID,ID_FIELD
msa,,,,,,,Metropolitan Statistical Area Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
_NAME_,,,,,,,SAS Internal Row Identifier,,,,ID,ID_FIELD
A7_1_C7_4,"A-7, Part I: Capital Assets",A700001,00400,4,00700,7,Building Improvements,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C1_5,"A-7, Part I: Capital Assets",A700001,00500,5,00100,1,Fixed Equipment,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Beginning Balances,NUMERIC,COMPLETE
A7_1_C2_5,"A-7, Part I: Capital Assets",A700001,00500,5,00200,2,Fixed Equipment,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Purchases,NUMERIC,COMPLETE
A7_1_C3_5,"A-7, Part I: Capital Assets",A700001,00500,5,00300,3,Fixed Equipment,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations,NUMERIC,COMPLETE
A7_1_C5_5,"A-7, Part I: Capital Assets",A700001,00500,5,00500,5,Fixed Equipment,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C7_5,"A-7, Part I: Capital Assets",A700001,00500,5,00700,7,Fixed Equipment,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C1_6,"A-7, Part I: Capital Assets",A700001,00600,6,00100,1,Movable Equipment,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Beginning Balances,NUMERIC,COMPLETE
A7_1_C2_6,"A-7, Part I: Capital Assets",A700001,00600,6,00200,2,Movable Equipment,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Purchases,NUMERIC,COMPLETE
A7_1_C3_6,"A-7, Part I: Capital Assets",A700001,00600,6,00300,3,Movable Equipment,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations,NUMERIC,COMPLETE
A7_1_C5_6,"A-7, Part I: Capital Assets",A700001,00600,6,00500,5,Movable Equipment,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C7_6,"A-7, Part I: Capital Assets",A700001,00600,6,00700,7,Movable Equipment,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C1_7,"A-7, Part I: Capital Assets",A700001,00700,7,00100,1,Begin Balance,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C2_7,"A-7, Part I: Capital Assets",A700001,00700,7,00200,2,Purchase,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C3_7,"A-7, Part I: Capital Assets",A700001,00700,7,00300,3,Donations,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C4_7,"A-7, Part I: Capital Assets",A700001,00700,7,00400,4,Total,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Fully Depreciated Assets,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C5_7,"A-7, Part I: Capital Assets",A700001,00700,7,00500,5,Disp. And Retirement,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C6_7,"A-7, Part I: Capital Assets",A700001,00700,7,00600,6,Ending Balance,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Fully Depreciated Assets,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C7_7,"A-7, Part I: Capital Assets",A700001,00700,7,00700,7,Assets,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C1_8,"A-7, Part I: Capital Assets",A700001,00800,8,00100,1,Subtotal,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Beginning Balances,NUMERIC,COMPLETE
